student_id,avg_grade,grade_std,avg_ai_prob,max_ai_prob,avg_similarity,avg_drift,max_drift,avg_delay,anomaly_count,avg_anomaly_score,avg_composite_risk,max_composite_risk,submission_count,risk_tier
S0000,69.41504929057587,5.282950504679953,0.1956332306179889,0.5145680836879413,0.3610289961012642,0.4579711622877765,1.4009287698774822,14.6,0,0.44455669332020575,0.3094448378358321,0.5036708169999433,60,Medium
S0001,53.09986103211195,5.601851509124455,0.0974255157357652,0.311240674523813,0.2177604464723097,0.12558318774190322,0.6893025015218395,4.433333333333334,13,0.50097248895784,0.14505083043596786,0.2838910550343587,60,Low
S0002,62.79987824924884,5.616466114786554,0.25682866483873396,0.5429880067260621,0.39475287070854276,0.8661953434780986,1.9762095258254109,13.766666666666667,1,0.4501874480887739,0.39281754654262263,0.602905095176044,60,Medium
S0003,57.94433962950755,4.954838480611131,0.15692870925756358,0.3892491458308288,0.2914186012623594,0.2909705904401266,1.2341001996189638,21.016666666666666,1,0.4629825915769993,0.2752031990687611,0.4654524212749207,60,Medium
S0004,58.543313364088114,5.0974544960228005,0.06846537150650853,0.2987961464168096,0.19286942034567547,0.2598912720672551,1.8931069546230772,14.65,5,0.4713800945745112,0.17864824744503463,0.3699362241144114,60,Low
S0005,72.27590483306102,4.3122547783211065,0.0788155320627299,0.2706719687447371,0.19757620991823185,0.9676759907759064,1.9413072021062652,9.2,0,0.4366246732297393,0.25070228426672625,0.425031014078321,60,Medium
S0006,63.307183755496744,5.039389962679001,0.14391183985208209,0.3903045207845384,0.29416996239201737,0.8674360145734779,1.994695198762107,3.8833333333333333,0,0.43242654136855074,0.2782668065228794,0.4874750507287566,60,Medium
S0007,62.235214523254186,5.276404857191078,0.26101310883682244,0.6783404152902002,0.38991872057348975,1.024669597763296,1.9862156782362093,20.383333333333333,0,0.46228358478457715,0.4376691275228473,0.7113620491054339,60,High
S0008,57.09546419907461,5.738238053321021,0.13179548956500675,0.3844586236752149,0.2803660611665116,0.35263306725655164,1.6120014446567676,8.666666666666666,0,0.441434918195296,0.22167078124769662,0.4489358826574447,60,Medium
S0009,60.08953714327139,4.596595032151803,0.08866005670169633,0.367371758950112,0.2532732653153268,0.9514712059154716,1.993556595019674,13.966666666666667,0,0.4275908029454272,0.288841097783696,0.5127919226028096,60,Medium
